timestamp,datetime,profile_id,message_code,accepted_invitation,replied
1674053299,2023-01-18 15:48,christopher-hill-72944417,n0,False,False
1674053314,2023-01-18 15:48,flemingprivateoffice,n0,True,False
1674053329,2023-01-18 15:48,andrew-waldren-16057a10,n0,False,False
1674053348,2023-01-18 15:49,ammalan-annalingam-76831a1a,n0,False,False
1674053366,2023-01-18 15:49,michael-rosenthal-24b412,n0,False,False
1674054565,2023-01-18 16:09,greg-malone-69057734,n0,False,False
1674054583,2023-01-18 16:09,carnegie-smyth-56787b5,n0,False,False
1674054597,2023-01-18 16:09,james-duckworth-chad-8527805,n0,False,False
1674054616,2023-01-18 16:10,fabrizio-basso-4543463b,n0,False,False
1674054635,2023-01-18 16:10,billy-norris-834a2725,n0,False,False
1674057947,2023-01-18 17:05,ray-cullivan,n0,False,False
1674057965,2023-01-18 17:06,michael-keane-a2180529,n0,False,False
1674057986,2023-01-18 17:06,eirian-jones-b4491365,n0,False,False
1674058004,2023-01-18 17:06,drew-mcneil-54772111,n0,False,False
1674058022,2023-01-18 17:07,bwiseman08,n0,False,False
1674059793,2023-01-18 17:36,michaeljamesmacfarlane,n0,False,False
1674059806,2023-01-18 17:36,melissa-lester,n0,False,False
1674059824,2023-01-18 17:37,ross-mason,n0,False,False
1674059840,2023-01-18 17:37,jay-ash-38484579,n0,False,False
1674059859,2023-01-18 17:37,alistair-cairns-8a1422,n0,False,False
1674059878,2023-01-18 17:37,jack-mactaggart,n0,False,False
1674059895,2023-01-18 17:38,william-laxton,n0,False,False
1674059906,2023-01-18 17:38,andrew-spence-6a638bb,n0,False,False
1674059923,2023-01-18 17:38,george-renouf-13665014,n0,False,False
1674059939,2023-01-18 17:38,harvey-s-aa473718a,n0,False,False
1674119353,2023-01-19 10:09,chuck-powers-09b19329,n0,True,False
1674119371,2023-01-19 10:09,anthony-moore-30613926,n0,True,False
1674119387,2023-01-19 10:09,dominik-simler-0b2580b,n0,False,False
1674119398,2023-01-19 10:09,yves-alexandre-05baa383,n0,False,False
1674119411,2023-01-19 10:10,john-burke-689625176,n0,False,False
1674119428,2023-01-19 10:10,kevin-arenson-123b9218,n0,False,False
1674119445,2023-01-19 10:10,tristin-retzlaff-8aaa938,n0,False,False
1674119465,2023-01-19 10:11,giulio-battaglia-4129822,n0,False,False
1674119479,2023-01-19 10:11,shuo-zhao-06022817,n0,False,False
1674119490,2023-01-19 10:11,emmaholden01,n0,False,False
