timestamp,date_time,profile_id,connection_level
1674313606,2023-01-21 16:06,christopher-hill-72944417,DISTANCE_2
1674313670,2023-01-21 16:07,andrew-waldren-16057a10,DISTANCE_2
1674313734,2023-01-21 16:08,ammalan-annalingam-76831a1a,DISTANCE_2
1674313796,2023-01-21 16:09,michael-rosenthal-24b412,DISTANCE_2
1674313859,2023-01-21 16:10,greg-malone-69057734,DISTANCE_2
1674313923,2023-01-21 16:12,carnegie-smyth-56787b5,DISTANCE_2
1674313986,2023-01-21 16:13,james-duckworth-chad-8527805,DISTANCE_2
1674315682,2023-01-21 16:41,fabrizio-basso-4543463b,DISTANCE_2
1674315744,2023-01-21 16:42,billy-norris-834a2725,DISTANCE_2
1674315810,2023-01-21 16:43,ray-cullivan,DISTANCE_2
1674315873,2023-01-21 16:44,michael-keane-a2180529,DISTANCE_3
1674315935,2023-01-21 16:45,eirian-jones-b4491365,DISTANCE_2
1674315999,2023-01-21 16:46,drew-mcneil-54772111,DISTANCE_2
1674316063,2023-01-21 16:47,bwiseman08,DISTANCE_2
1674058650,2023-01-18 17:17,flemingprivateoffice,DISTANCE_1
1674316126,2023-01-21 16:48,michaeljamesmacfarlane,DISTANCE_2
1674316190,2023-01-21 16:49,melissa-lester,DISTANCE_2
1674316252,2023-01-21 16:50,ross-mason,DISTANCE_2
1674326279,2023-01-21 19:37,jay-ash-38484579,DISTANCE_2
1674326341,2023-01-21 19:39,alistair-cairns-8a1422,DISTANCE_2
1674326405,2023-01-21 19:40,jack-mactaggart,DISTANCE_2
1674326468,2023-01-21 19:41,william-laxton,DISTANCE_2
1674326530,2023-01-21 19:42,andrew-spence-6a638bb,DISTANCE_2
1674326595,2023-01-21 19:43,george-renouf-13665014,DISTANCE_2
1674326658,2023-01-21 19:44,harvey-s-aa473718a,DISTANCE_2
1674326720,2023-01-21 19:45,dominik-simler-0b2580b,DISTANCE_2
1674326782,2023-01-21 19:46,yves-alexandre-05baa383,DISTANCE_2
1674326845,2023-01-21 19:47,john-burke-689625176,DISTANCE_3
1674326910,2023-01-21 19:48,kevin-arenson-123b9218,DISTANCE_3
1674326976,2023-01-21 19:49,tristin-retzlaff-8aaa938,DISTANCE_2
1674327040,2023-01-21 19:50,giulio-battaglia-4129822,DISTANCE_2
1674327104,2023-01-21 19:51,shuo-zhao-06022817,DISTANCE_2
1674327170,2023-01-21 19:52,emmaholden01,DISTANCE_3
1674327234,2023-01-21 19:53,alan-torevell-298ab8133,DISTANCE_3
1674327299,2023-01-21 19:54,costayiannoulis,DISTANCE_2
1674327364,2023-01-21 19:56,dmitry-tomkin-61753578,DISTANCE_2
1674327429,2023-01-21 19:57,alex-jeffrey1,DISTANCE_2
1674327492,2023-01-21 19:58,kiran-patel-a4018145,DISTANCE_2
1674327557,2023-01-21 19:59,mike-smith-a3b68711,DISTANCE_2
1674327623,2023-01-21 20:00,jim-shea-7572733b,DISTANCE_3
1674327686,2023-01-21 20:01,greg-adams-cfa-09939a59,DISTANCE_2
1674126938,2023-01-19 12:15,simon-hopkins-9514791,DISTANCE_1
1674140879,2023-01-19 16:07,chuck-powers-09b19329,DISTANCE_1
1674140888,2023-01-19 16:08,anthony-moore-30613926,DISTANCE_1
1674327752,2023-01-21 20:02,gareth-herrington-8b33b95b,DISTANCE_3
1674327817,2023-01-21 20:03,marc-meyohas-8039364,DISTANCE_1
1674327948,2023-01-21 20:05,nstoronsky,DISTANCE_2
1674328011,2023-01-21 20:06,yue-max-qiu-268a5340,DISTANCE_2
1674328074,2023-01-21 20:07,ani-khatri-3530531,DISTANCE_2
1674328138,2023-01-21 20:08,nadia-al-doseri-ab3a4ab,DISTANCE_2
1674328203,2023-01-21 20:10,natasha-kuznetsova-5751541,DISTANCE_2
1674328267,2023-01-21 20:11,nayyaril,DISTANCE_2
1674328329,2023-01-21 20:12,rodrigo-mendes-34459ab,DISTANCE_2
1674165056,2023-01-19 22:50,alexanderkalis,DISTANCE_1
1674165626,2023-01-19 23:00,daniel-goldstein-1462552b,DISTANCE_1
1674328392,2023-01-21 20:13,paul-vesuvius,DISTANCE_2
1674328455,2023-01-21 20:14,s-r-m-brenninkmeijer-2543075,DISTANCE_2
1674328520,2023-01-21 20:15,elad-shraga-293a75165,DISTANCE_3
1674328584,2023-01-21 20:16,richard-lindop-00949180,DISTANCE_2
1674328647,2023-01-21 20:17,joanna-hunt-7475358,DISTANCE_2
1674328710,2023-01-21 20:18,matthew-dickens-cfa-55886958,DISTANCE_2
1674328776,2023-01-21 20:19,paul-webb-7ba28920,DISTANCE_3
1674328841,2023-01-21 20:20,julia-wigram,DISTANCE_3
1674328906,2023-01-21 20:21,loutfy-mansour-16b323a6,DISTANCE_2
1674328971,2023-01-21 20:22,nikolaj-bertelsen-b47426,DISTANCE_3
1674329036,2023-01-21 20:23,david-lumley-120ab0217,DISTANCE_3
1674329099,2023-01-21 20:24,karey-telo-540a2324,DISTANCE_3
1674329163,2023-01-21 20:26,alex-hills-a9002560,DISTANCE_3
1674329229,2023-01-21 20:27,francis-akpata-908a218a,DISTANCE_2
1674329294,2023-01-21 20:28,tedholmes,DISTANCE_2
1674329358,2023-01-21 20:29,jacobingemannolsen,DISTANCE_2
1674329422,2023-01-21 20:30,giles-white-9893386,DISTANCE_2
1674298191,2023-01-21 11:49,st-john-coughlan-0608302,DISTANCE_2
1674329553,2023-01-21 20:32,neil-fillary-9a175512,DISTANCE_2
1674329618,2023-01-21 20:33,jamesrbmoore,DISTANCE_2
1674329683,2023-01-21 20:34,anna-karim-77829a15,DISTANCE_3
1674329748,2023-01-21 20:35,sandra-boss-3ba3938b,DISTANCE_3
